ownership,papan_pencatatan,ipo_raised_fund,float,price_cat,underwriter_freq_cat,underwriter_avg_aset_cat,underwriter_highest_short_rep,underwriter_highest_mid_rep,underwriter_highest_long_rep,underwriter_has_bigbank,total_aset_cat,equity,leverage_ratio,revenue,turnover_ratio,per,pbv,1d,1w,1m,6m,1y
3,4,31500000000.0,0.2,0,2,1,1,0,0,1,1,35023124635.0,2.39775509010634,62369570267.0,0.5241140358571429,-40.69817571075963,4.497028795728979,2,1,1,0,0
3,0,222360000000.0,0.15,0,2,2,2,2,0,0,2,1361000000000.0,0.2049963262307127,126000000000.0,0.07682926829268293,56.73172598545733,1.089199118295371,0,1,1,2,2
3,1,35000000000.0,0.2,0,2,0,1,0,1,0,0,15574336000.0,0.3910372166107114,24878124000.0,1.1483369483903167,45.765513201389176,10.0,2,0,0,2,2
3,1,77600000000.0,0.2,1,2,1,1,0,1,0,1,67000000000.0,3.1194029850746268,280000000000.0,1.0144927536231885,100.0,5.791044776119403,0,1,1,2,2
3,2,22998925000.0,0.1759,0,2,0,0,0,0,0,0,14694932677.0,0.8457851649400925,1308992531.0,0.04826012213120908,100.0,8.897624975488684,1,0,0,0,0
3,1,52070000000.0,0.2,0,2,1,1,0,0,1,1,102403016158.0,0.3183205443060911,20698125655.0,0.1533194492962963,75.15929415538771,2.5424055830377097,0,1,0,0,0
3,1,58500000000.0,0.2,0,2,0,1,0,0,0,1,117000000000.0,2.111111111111111,136000000000.0,0.37362637362637363,99.9514213880627,2.5,0,1,1,2,2
3,1,39062500000.0,0.2,0,1,0,2,0,0,0,0,35193182381.0,0.45781656317896713,13038190545.0,0.25412998061038455,71.54970956464963,5.54972545209338,0,1,1,2,0
3,4,125000000000.0,0.2,0,2,0,2,2,0,0,1,-249632000000000.0,-1.001474169978208,95530761000.0,0.25959445923913044,14.433603127782582,-0.0025036854249455196,0,1,1,2,0
3,1,275047500000.0,0.1209,0,2,2,1,2,0,0,2,1140000000000.0,0.9824561403508771,55906000000.0,0.024737168141592922,-1170.8697889861041,1.9956140350877194,0,1,1,0,0
3,0,828000810000.0,0.15,1,2,2,2,2,2,1,2,1086000000000.0,0.3351749539594843,667000000000.0,0.46,62.079729638543384,5.082877900552487,0,1,1,0,2
1,1,431250000000.0,0.2,2,2,2,2,2,2,1,2,160000000000.0,14.3125,4710000000000.0,1.9224489795918367,-36.15867053477101,10.0,0,1,1,2,2
1,3,7965000000000.0,0.15,1,2,2,2,2,2,1,2,8200000000000.0,1.0609756097560976,6710000000000.0,0.3970414201183432,-21.240000000000002,6.475609756097561,2,1,1,2,2
1,0,299952000000.0,0.2083,0,2,2,2,1,1,0,1,212000000000.0,2.169811320754717,467000000000.0,0.6949404761904762,54.74317902840514,6.792452830188679,2,1,0,2,2
